UserType,DemoInfo,Distribution
0,1,0.1919465887752973
0,2,0.18815633910564017
0,3,0.14382084985047638
0,4,0.11502886153418179
0,5,0.09750330342861117
0,6,0.12413936991445859
0,7,0.12052298490854718
1,1,0.002781834619931845
1,2,0.0038597955351554352
1,3,0.002781834619931845
1,4,0.0015647819737116628
1,5,0.0012865985117184783
1,6,0.0014604631754642186
1,7,0.0014604631754642186
2,1,0.0006954586549829612
2,2,0.0007650045204812574
2,3,0.00024341052924403643
2,4,0.0001738646637457403
2,5,0.00013909173099659226
2,7,3.4772932749148066e-05
3,1,0.00041727519298977677
3,2,0.0005563669239863691
3,3,0.0003477293274914806
3,4,0.00013909173099659226
3,6,0.00010431879824744419
3,7,6.954586549829613e-05
