UserType,DemoInfo,Distribution
0,1,0.1760205855761875
0,2,0.1697266847485917
0,3,0.13133736699353224
0,4,0.10372765839070867
0,5,0.08728006120036164
0,6,0.10876973363933515
0,7,0.1059878990194033
1,1,0.017351693441824884
1,2,0.021524445371722652
1,3,0.014987134014882815
1,4,0.01255302872244245
1,5,0.011162111412476527
1,6,0.016447597190347035
1,7,0.01578691146811322
2,1,0.0015300090409625148
2,2,0.0014952361082133667
2,3,0.0007302315877321093
2,4,0.00041727519298977677
2,5,0.00013909173099659226
2,6,0.0003477293274914806
2,7,6.954586549829613e-05
3,1,0.0009388691842269978
3,2,0.000591139856735517
3,3,0.00013909173099659226
3,4,0.00020863759649488838
3,5,0.0003477293274914806
3,6,0.00013909173099659226
3,7,0.00024341052924403643
